ts,event,epoch,n_slides,host_rss_gb,cuda_alloc_gb,cuda_peak_gb,cuda_reserved_gb
2026-08-04 18:16:46,start,24,0,5.9353,3.2901,3.2901,4.6719
2026-08-04 18:18:32,train_slide,24,180,5.9353,3.9459,29.0050,30.2324
2026-08-04 18:20:13,train_slide,24,184,5.9353,3.9465,29.0050,30.2324
2026-08-04 18:21:54,train_slide,24,188,5.9353,3.9591,29.0091,30.2324
2026-08-04 18:23:26,train_slide,24,192,5.9353,3.9471,29.0091,30.2324
2026-08-04 18:25:11,train_slide,24,196,5.9353,3.9585,29.0091,30.2324
2026-08-04 18:26:49,train_slide,24,200,5.9353,3.9587,29.0091,30.2324
2026-08-04 18:28:23,train_slide,24,204,5.9353,3.9521,29.0091,30.2324
2026-08-04 18:29:57,train_slide,24,208,5.9353,3.9467,29.0091,30.2324
2026-08-04 18:31:42,train_slide,24,212,5.9353,3.9469,29.0091,30.2324
2026-08-04 18:33:18,train_slide,24,216,5.9353,3.9511,29.0091,30.2324
2026-08-04 18:34:58,train_slide,24,220,5.9353,3.8183,29.0104,30.2324
2026-08-04 18:36:40,train_slide,24,224,5.9353,3.6120,29.0104,30.2324
2026-08-04 18:38:29,train_slide,24,228,5.9353,3.9526,29.0104,30.2324
2026-08-04 18:40:07,train_slide,24,232,5.9353,3.7478,29.0104,30.2324
2026-08-04 18:41:43,train_slide,24,236,5.9353,3.9588,29.0142,30.2324
2026-08-04 18:43:18,train_slide,24,240,5.9353,3.9589,29.0142,30.2324
2026-08-04 18:45:10,train_slide,24,244,5.9353,3.9579,29.0142,30.2324
2026-08-04 18:46:49,train_slide,24,248,5.9353,3.9587,29.0143,30.2324
2026-08-04 18:48:28,train_slide,24,252,5.9353,3.9531,29.0143,30.2324
2026-08-04 18:50:05,train_slide,24,256,5.9353,3.9589,29.0143,30.2324
2026-08-04 18:50:14,val_start,24,256,5.9353,3.9589,29.0143,30.2324
2026-08-04 19:02:49,val_end,24,256,5.9353,4.0554,29.0143,38.5898
2026-08-04 19:04:44,train_slide,25,4,5.9353,4.0483,29.0143,38.5898
2026-08-04 19:06:28,train_slide,25,8,5.9353,4.0540,29.1032,38.5898
2026-08-04 19:08:04,train_slide,25,12,5.9353,4.0411,29.1032,38.5898
2026-08-04 19:09:44,train_slide,25,16,5.9353,3.7533,29.1032,38.5898
2026-08-04 19:11:30,train_slide,25,20,5.9353,4.0541,29.1065,38.5898
2026-08-04 19:13:11,train_slide,25,24,5.9353,4.0430,29.1065,38.5898
2026-08-04 19:14:48,train_slide,25,28,5.9353,4.0478,29.1065,38.5898
2026-08-04 19:16:29,train_slide,25,32,5.9353,4.0540,29.1065,38.5898
2026-08-04 19:18:16,train_slide,25,36,5.9353,4.0427,29.1065,38.5898
2026-08-04 19:19:52,train_slide,25,40,5.9353,4.0477,29.1065,38.5898
2026-08-04 19:21:31,train_slide,25,44,5.9353,4.0357,29.1068,38.5898
2026-08-04 19:23:09,train_slide,25,48,5.9353,4.0417,29.1080,38.5898
2026-08-04 19:25:01,train_slide,25,52,5.9353,4.0524,29.1080,38.5898
2026-08-04 19:26:40,train_slide,25,56,5.9353,4.0427,29.1080,38.5898
2026-08-04 19:28:18,train_slide,25,60,5.9353,3.7836,29.1080,38.5898
2026-08-04 19:29:54,train_slide,25,64,5.9353,4.0423,29.1080,38.5898
2026-08-04 19:31:39,train_slide,25,68,5.9353,4.0534,29.1080,38.5898
2026-08-04 19:33:17,train_slide,25,72,5.9353,4.0476,29.1080,38.5898
2026-08-04 19:34:51,train_slide,25,76,5.9353,3.7140,29.1080,38.5898
2026-08-04 19:36:34,train_slide,25,80,5.9353,4.0525,29.1080,38.5898
2026-08-04 19:38:20,train_slide,25,84,5.9353,4.0407,29.1080,38.5898
2026-08-04 19:39:59,train_slide,25,88,5.9353,4.0465,29.1080,38.5898
2026-08-04 19:41:43,train_slide,25,92,5.9353,4.0546,29.1080,38.5898
2026-08-04 19:43:24,train_slide,25,96,5.9353,4.0523,29.1080,38.5898
2026-08-04 19:45:15,train_slide,25,100,5.9353,4.0484,29.1080,38.5898
2026-08-04 19:46:55,train_slide,25,104,5.9353,3.7844,29.1080,38.5898
2026-08-04 19:48:38,train_slide,25,108,5.9353,4.0431,29.1080,38.5898
2026-08-04 19:50:16,train_slide,25,112,5.9353,4.0542,29.1080,38.5898
2026-08-04 19:52:07,train_slide,25,116,5.9353,4.0544,29.1080,38.5898
2026-08-04 19:53:45,train_slide,25,120,5.9353,4.0413,29.1080,38.5898
2026-08-04 19:55:27,train_slide,25,124,5.9353,4.0533,29.1081,38.5898
2026-08-04 19:57:09,train_slide,25,128,5.9353,4.0544,29.1081,38.5898
2026-08-04 19:58:59,train_slide,25,132,5.9353,4.0537,29.1081,38.5898
2026-08-04 20:00:39,train_slide,25,136,5.9353,4.0528,29.1081,38.5898
2026-08-04 20:02:16,train_slide,25,140,5.9353,4.0542,29.1081,38.5898
2026-08-04 20:03:54,train_slide,25,144,5.9353,4.0467,29.1081,38.5898
2026-08-04 20:05:42,train_slide,25,148,5.9353,4.0545,29.1081,38.5898
2026-08-04 20:07:20,train_slide,25,152,5.9353,4.0541,29.1081,38.5898
2026-08-04 20:09:03,train_slide,25,156,5.9353,4.0489,29.1081,38.5898
2026-08-04 20:10:41,train_slide,25,160,5.9353,4.0465,29.1081,38.5898
2026-08-04 20:12:32,train_slide,25,164,5.9353,4.0536,29.1081,38.5898
2026-08-04 20:14:11,train_slide,25,168,5.9353,4.0536,29.1081,38.5898
2026-08-04 20:15:38,train_slide,25,172,5.9353,4.0523,29.1081,38.5898
2026-08-04 20:17:18,train_slide,25,176,5.9353,4.0424,29.1081,38.5898
2026-08-04 20:19:07,train_slide,25,180,5.9353,4.0407,29.1081,38.5898
2026-08-04 20:20:41,train_slide,25,184,5.9353,3.8305,29.1081,38.5898
2026-08-04 20:22:24,train_slide,25,188,5.9353,3.8013,29.1095,38.5898
2026-08-04 20:24:03,train_slide,25,192,5.9353,4.0541,29.1095,38.5898
2026-08-04 20:25:39,train_slide,25,196,5.9353,4.0128,29.1095,38.5898
2026-08-04 20:27:19,train_slide,25,200,5.9353,4.0532,29.1095,38.5898
2026-08-04 20:28:56,train_slide,25,204,5.9353,4.0407,29.1095,38.5898
2026-08-04 20:30:39,train_slide,25,208,5.9353,4.0464,29.1095,38.5898
2026-08-04 20:32:28,train_slide,25,212,5.9353,4.0542,29.1095,38.5898
2026-08-04 20:34:06,train_slide,25,216,5.9353,4.0546,29.1095,38.5898
2026-08-04 20:35:47,train_slide,25,220,5.9353,3.8020,29.1095,38.5898
2026-08-04 20:37:24,train_slide,25,224,5.9353,4.0476,29.1106,38.5898
2026-08-04 20:39:11,train_slide,25,228,5.9353,3.8491,29.1106,38.5898
2026-08-04 20:40:54,train_slide,25,232,5.9353,4.0419,29.1106,38.5898
2026-08-04 20:42:37,train_slide,25,236,5.9353,4.0536,29.1106,38.5898
2026-08-04 20:44:15,train_slide,25,240,5.9353,4.0423,29.1106,38.5898
2026-08-04 20:46:02,train_slide,25,244,5.9353,4.0424,29.1106,38.5898
2026-08-04 20:47:43,train_slide,25,248,5.9353,4.0529,29.1106,38.5898
2026-08-04 20:49:16,train_slide,25,252,5.9353,3.9356,29.1106,38.5898
2026-08-04 20:50:54,train_slide,25,256,5.9353,4.0536,29.1106,38.5898
2026-08-04 20:51:03,val_start,25,256,5.9353,4.0536,29.1106,38.5898
2026-08-04 21:03:05,val_end,25,256,5.9353,4.0531,29.1106,38.5898
2026-08-04 21:05:02,train_slide,26,4,5.9353,4.0418,29.1106,38.5898
2026-08-04 21:06:39,train_slide,26,8,5.9353,4.0528,29.1106,38.5898
2026-08-04 21:08:22,train_slide,26,12,5.9353,4.0421,29.1106,38.5898
2026-08-04 21:10:00,train_slide,26,16,5.9353,4.0519,29.1106,38.5898
2026-08-04 21:11:45,train_slide,26,20,5.9353,4.0533,29.1106,38.5898
2026-08-04 21:13:28,train_slide,26,24,5.9353,4.0528,29.1106,38.5898
2026-08-04 21:15:09,train_slide,26,28,5.9353,3.9429,29.1106,38.5898
2026-08-04 21:16:51,train_slide,26,32,5.9353,4.0414,29.1106,38.5898
