image_id,x,y,dominant_class,patch_size,stain_backend,tissue_pct,pen_mark_pct,normalized,notes,output_file
2ae016457e8ff8e21723a91b57a96d7d,0,1024,0,512,spams,0.0,0.0,False,skipped_low_tissue,2ae01645_x0_y1024_vahadane.png
2ae016457e8ff8e21723a91b57a96d7d,0,2048,1,512,spams,20.8,0.0,False,skipped_low_tissue,2ae01645_x0_y2048_vahadane.png
2ae016457e8ff8e21723a91b57a96d7d,0,1536,0,512,spams,8.68,0.0,False,skipped_low_tissue,2ae01645_x0_y1536_vahadane.png
49ad3b1fca450036f56b4844f178b837,0,9216,0,512,spams,1.17,0.0,False,skipped_low_tissue,49ad3b1f_x0_y9216_vahadane.png
49ad3b1fca450036f56b4844f178b837,512,3072,1,512,spams,40.29,0.0,False,skipped_low_tissue,49ad3b1f_x512_y3072_vahadane.png
49ad3b1fca450036f56b4844f178b837,5632,11776,3,512,spams,75.0,0.0,True,,49ad3b1f_x5632_y11776_vahadane.png
6dfc6b0ab1aa81cb550e52ca291cbb64,0,1024,0,512,spams,1.01,0.0,False,skipped_low_tissue,6dfc6b0a_x0_y1024_vahadane.png
6dfc6b0ab1aa81cb550e52ca291cbb64,512,1536,1,512,spams,29.58,0.0,False,skipped_low_tissue,6dfc6b0a_x512_y1536_vahadane.png
6dfc6b0ab1aa81cb550e52ca291cbb64,3584,1536,4,512,spams,83.52,0.0,True,,6dfc6b0a_x3584_y1536_vahadane.png
85924446350920fb124b657160c966d7,0,512,0,512,spams,0.0,0.0,False,skipped_low_tissue,85924446_x0_y512_vahadane.png
85924446350920fb124b657160c966d7,0,1024,1,512,spams,36.47,0.0,False,skipped_low_tissue,85924446_x0_y1024_vahadane.png
85924446350920fb124b657160c966d7,1536,1024,5,512,spams,71.22,0.0,True,,85924446_x1536_y1024_vahadane.png
b641f33ff342b590cf61baeea481716a,0,2560,0,512,spams,0.0,0.0,False,skipped_low_tissue,b641f33f_x0_y2560_vahadane.png
b641f33ff342b590cf61baeea481716a,512,2048,1,512,spams,10.11,0.0214,False,pen_marks_detected; skipped_low_tissue,b641f33f_x512_y2048_vahadane.png
b641f33ff342b590cf61baeea481716a,512,1536,0,512,spams,0.15,0.0,False,skipped_low_tissue,b641f33f_x512_y1536_vahadane.png
