image_id,slide_path,pen_mark_fraction,pen_green_fraction,pen_blue_fraction,pen_black_fraction,pen_colors,has_pen_mark,status
0018ae58b01bdadc8e347995b69f99aa,/common/omarmlab/members/anh/panda_project/data/slides/0018ae58b01bdadc8e347995b69f99aa.tiff,0.0,0.0,0.0,0.0,,False,ok
006f6aa35a78965c92fffd1fbd53a058,/common/omarmlab/members/anh/panda_project/data/slides/006f6aa35a78965c92fffd1fbd53a058.tiff,0.0,0.0,0.0,0.0,,False,ok
007433133235efc27a39f11df6940829,/common/omarmlab/members/anh/panda_project/data/slides/007433133235efc27a39f11df6940829.tiff,0.0,0.0,0.0,0.0,,False,ok
0076bcb66e46fb485f5ba432b9a1fe8a,/common/omarmlab/members/anh/panda_project/data/slides/0076bcb66e46fb485f5ba432b9a1fe8a.tiff,3.788e-05,0.0,3.61e-06,3.428e-05,,False,ok
008069b542b0439ed69b194674051964,/common/omarmlab/members/anh/panda_project/data/slides/008069b542b0439ed69b194674051964.tiff,0.0,0.0,0.0,0.0,,False,ok
00928370e2dfeb8a507667ef1d4efcbb,/common/omarmlab/members/anh/panda_project/data/slides/00928370e2dfeb8a507667ef1d4efcbb.tiff,0.00185334,1.293e-05,0.0,0.00184041,black,True,ok
00951a7fad040bf7e90f32e81fc0746f,/common/omarmlab/members/anh/panda_project/data/slides/00951a7fad040bf7e90f32e81fc0746f.tiff,0.00220404,0.00220337,0.0,6.7e-07,green,True,ok
00a26aaa82c959624d90dfb69fcf259c,/common/omarmlab/members/anh/panda_project/data/slides/00a26aaa82c959624d90dfb69fcf259c.tiff,0.0,0.0,0.0,0.0,,False,ok
00a7fb880dc12c5de82df39b30533da9,/common/omarmlab/members/anh/panda_project/data/slides/00a7fb880dc12c5de82df39b30533da9.tiff,0.0,0.0,0.0,0.0,,False,ok
00bbc1482301d16de3ff63238cfd0b34,/common/omarmlab/members/anh/panda_project/data/slides/00bbc1482301d16de3ff63238cfd0b34.tiff,0.0,0.0,0.0,0.0,,False,ok
00c15b23b30a5ba061358d9641118904,/common/omarmlab/members/anh/panda_project/data/slides/00c15b23b30a5ba061358d9641118904.tiff,0.0,0.0,0.0,0.0,,False,ok
00c46b336b5b06423fcdec1b4d5bee06,/common/omarmlab/members/anh/panda_project/data/slides/00c46b336b5b06423fcdec1b4d5bee06.tiff,0.00117561,0.0,0.00117376,1.85e-06,blue,True,ok
00c52cb4db1c7a5811a8f070a910c038,/common/omarmlab/members/anh/panda_project/data/slides/00c52cb4db1c7a5811a8f070a910c038.tiff,0.0,0.0,0.0,0.0,,False,ok
00ca0c23961b5510be46c917be11c43e,/common/omarmlab/members/anh/panda_project/data/slides/00ca0c23961b5510be46c917be11c43e.tiff,0.00022005,0.0,0.00021546,4.58e-06,blue,True,ok
00e6511435645e50673991768a713c66,/common/omarmlab/members/anh/panda_project/data/slides/00e6511435645e50673991768a713c66.tiff,2.5e-07,0.0,0.0,2.5e-07,,False,ok
00ed4dbf9af6cc102e04cc9a42b313e2,/common/omarmlab/members/anh/panda_project/data/slides/00ed4dbf9af6cc102e04cc9a42b313e2.tiff,0.00146489,0.0,0.0,0.00146489,black,True,ok
00f6ea010b008e7b3635910a13b165a5,/common/omarmlab/members/anh/panda_project/data/slides/00f6ea010b008e7b3635910a13b165a5.tiff,5.217e-05,0.0,0.0,5.217e-05,,False,ok
010670e9572e67e5a7e00fb791a343ef,/common/omarmlab/members/anh/panda_project/data/slides/010670e9572e67e5a7e00fb791a343ef.tiff,0.0,0.0,0.0,0.0,,False,ok
