image_id,x,y,dominant_class,method,patch_size,stain_backend,reference_image_id,reference_x,reference_y,tissue_pct,pen_mark_pct,normalized,notes,output_file
2ae016457e8ff8e21723a91b57a96d7d,0,1024,0,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,0.0,0.0,False,skipped_low_tissue,2ae01645_x0_y1024_macenko.png
2ae016457e8ff8e21723a91b57a96d7d,0,2048,1,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,29.87,0.0,False,skipped_low_tissue,2ae01645_x0_y2048_macenko.png
2ae016457e8ff8e21723a91b57a96d7d,0,1536,0,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,9.69,0.0,False,skipped_low_tissue,2ae01645_x0_y1536_macenko.png
49ad3b1fca450036f56b4844f178b837,0,9216,0,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,0.91,0.0,False,skipped_low_tissue,49ad3b1f_x0_y9216_macenko.png
49ad3b1fca450036f56b4844f178b837,512,3072,1,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,41.15,0.0,False,skipped_low_tissue,49ad3b1f_x512_y3072_macenko.png
49ad3b1fca450036f56b4844f178b837,5632,11776,3,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,71.03,0.0,True,,49ad3b1f_x5632_y11776_macenko.png
6dfc6b0ab1aa81cb550e52ca291cbb64,0,1024,0,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,0.96,0.0,False,skipped_low_tissue,6dfc6b0a_x0_y1024_macenko.png
6dfc6b0ab1aa81cb550e52ca291cbb64,512,1536,1,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,36.73,0.0,False,skipped_low_tissue,6dfc6b0a_x512_y1536_macenko.png
6dfc6b0ab1aa81cb550e52ca291cbb64,3584,1536,4,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,87.46,0.0,True,,6dfc6b0a_x3584_y1536_macenko.png
85924446350920fb124b657160c966d7,0,512,0,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,0.0,0.0,False,skipped_low_tissue,85924446_x0_y512_macenko.png
85924446350920fb124b657160c966d7,0,1024,1,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,39.17,0.0,False,skipped_low_tissue,85924446_x0_y1024_macenko.png
85924446350920fb124b657160c966d7,1536,1024,5,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,79.94,0.0,True,,85924446_x1536_y1024_macenko.png
b641f33ff342b590cf61baeea481716a,0,2560,0,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,0.0,0.0,False,skipped_low_tissue,b641f33f_x0_y2560_macenko.png
b641f33ff342b590cf61baeea481716a,512,2048,1,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,12.46,0.0214,False,pen_marks_detected; skipped_low_tissue,b641f33f_x512_y2048_macenko.png
b641f33ff342b590cf61baeea481716a,512,1536,0,macenko,512,none,85924446350920fb124b657160c966d7,1536,1024,0.3,0.0,False,skipped_low_tissue,b641f33f_x512_y1536_macenko.png
