slide_id,category,background_pct_l0,background_pct_pyr,background_diff_pp,stroma_pct_l0,stroma_pct_pyr,stroma_diff_pp,benign_pct_l0,benign_pct_pyr,benign_diff_pp,g3_pct_l0,g3_pct_pyr,g3_diff_pp,g4_pct_l0,g4_pct_pyr,g4_diff_pp,g5_pct_l0,g5_pct_pyr,g5_diff_pp
91939627c20f2e47fa4be433363bfd6d,common,74.399315,74.410273,-0.010958,20.309873,20.302855,0.007019,2.368383,2.367633,0.00075,2.922174,2.919009,0.003165,0.000255,0.00023,2.5e-05,0.0,0.0,0.0
eb341a42f1e27d3af125fa1bcba8c799,common,88.220338,88.216169,0.004169,10.749671,10.753057,-0.003386,0.043348,0.043618,-0.00027,0.986643,0.987155,-0.000513,0.0,0.0,0.0,0.0,0.0,0.0
b470c2276d978f63d5b1c8a5a9446212,common,82.713598,82.715826,-0.002228,13.663694,13.669674,-0.005981,0.089821,0.090072,-0.000251,3.50149,3.492675,0.008815,0.031397,0.031753,-0.000356,0.0,0.0,0.0
c9c295e486e0f7f7dfb4f0fde6ff8240,common,80.267408,80.267961,-0.000553,15.615554,15.61563,-7.6e-05,0.291115,0.289379,0.001736,3.814167,3.815348,-0.001181,0.011756,0.011682,7.4e-05,0.0,0.0,0.0
ba79259f809a3397afb951e3f604bd90,common,83.252042,83.249166,0.002876,14.265925,14.271269,-0.005344,0.854381,0.854588,-0.000207,0.239228,0.23847,0.000758,1.388424,1.386507,0.001916,0.0,0.0,0.0
8e6db17e55f22d47faaeed270a79d288,common,74.04815,74.045809,0.002341,20.142509,20.138302,0.004206,0.051907,0.050776,0.001131,0.046817,0.046754,6.3e-05,5.710617,5.718358,-0.007741,0.0,0.0,0.0
cf8ab5a2ce0ff0b3d025ddb3ba1937a2,common,73.180297,73.179881,0.000416,22.068734,22.069183,-0.000449,1.182059,1.183981,-0.001922,0.0,0.0,0.0,3.56891,3.566955,0.001955,0.0,0.0,0.0
687d89772580c411d434b346e1e6c505,common,77.131204,77.136065,-0.004861,18.115303,18.101315,0.013988,0.122471,0.123727,-0.001257,0.0,0.0,0.0,4.631022,4.638893,-0.007871,0.0,0.0,0.0
a36b91d58c9dae658708fac3ae14b969,common,87.460635,87.463002,-0.002367,11.59274,11.586576,0.006164,0.946625,0.950423,-0.003797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fc5e5378432ef4e92306f05b309c4ebb,common,87.846348,87.843675,0.002674,11.602619,11.605026,-0.002407,0.551032,0.551299,-0.000266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f9404d959c3c8f6ece797507374dc386,high-grade,76.85965,76.864224,-0.004574,21.867683,21.867367,0.000316,1.048409,1.038524,0.009885,0.0,0.0,0.0,0.213805,0.21866,-0.004855,0.010453,0.011225,-0.000772
2e2d3ed2069dd704dde97c3d6d194b94,high-grade,65.564451,65.565378,-0.000927,22.728877,22.732466,-0.003589,0.070399,0.070489,-8.9e-05,0.0,0.0,0.0,1.857277,1.859581,-0.002304,9.778995,9.772086,0.006909
b6d692b8d90c1bd9273bc36690796a8e,high-grade,78.354896,78.354899,-3e-06,16.01785,16.018029,-0.000179,0.00154,0.001665,-0.000124,0.0,0.0,0.0,4.296051,4.29595,0.000101,1.329662,1.329457,0.000205
0e204892570cac5d8352fac145f1e66c,high-grade,78.795923,78.792201,0.003723,17.339222,17.331063,0.008159,0.260554,0.263088,-0.002533,0.0,0.0,0.0,0.711634,0.716747,-0.005112,2.892666,2.896902,-0.004236
f5440c7daa9981ec029c955999443de8,high-grade,90.532114,90.543916,-0.011802,7.598231,7.588068,0.010163,0.149566,0.149621,-5.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.720089,1.718395,0.001694
1364c10e1e7f1ad0457f649a44d74888,high-grade,72.660826,72.680464,-0.019638,23.216538,23.204952,0.011586,0.128659,0.130208,-0.001549,0.0,0.0,0.0,0.0,0.0,0.0,3.993976,3.984375,0.009601
f964b9543ed1fcd3fcda049d744a50bd,high-grade,87.935551,87.934952,0.000599,8.334313,8.328736,0.005577,0.417737,0.420106,-0.002369,3.262754,3.266615,-0.003861,0.0,0.0,0.0,0.049646,0.049591,5.4e-05
f40c17b3402d3937434e08f419ebb3d9,high-grade,83.618061,83.61859,-0.000529,14.034264,14.031652,0.002612,0.033063,0.032234,0.000829,0.324634,0.326272,-0.001637,0.0,0.0,0.0,1.989977,1.991252,-0.001274
72b46ce40040292c972e5c8fc84f857d,high-grade,91.226971,91.229558,-0.002587,6.97579,6.97518,0.00061,0.628911,0.627731,0.00118,0.817706,0.817526,0.00018,0.0,0.0,0.0,0.350621,0.350004,0.000617
6210281e975f738e94a5643d366e3b09,high-grade,87.640803,87.639995,0.000808,9.713441,9.710923,0.002518,0.068636,0.067859,0.000778,0.169404,0.170068,-0.000664,0.0,0.0,0.0,2.407716,2.411155,-0.003439
4520cef8cba78d1b80ed7de894c416b5,random,91.225778,91.231294,-0.005516,7.683411,7.680304,0.003107,0.043874,0.043844,2.9e-05,0.162498,0.161947,0.000551,0.88444,0.88261,0.001829,0.0,0.0,0.0
6210ddaf9f3e233411579da0ea9a0484,random,87.788577,87.784355,0.004222,9.619505,9.622888,-0.003383,0.70774,0.711522,-0.003782,1.315464,1.313792,0.001672,0.568714,0.567443,0.001271,0.0,0.0,0.0
b4e5cfe0f1616168c2a4524202c85327,random,86.616739,86.622515,-0.005776,10.300273,10.290519,0.009754,0.016991,0.016919,7.2e-05,2.776461,2.778906,-0.002445,0.289536,0.291142,-0.001605,0.0,0.0,0.0
c8ea4dc8fe6c8348dcc4db4d01c0c84a,random,85.551487,85.543387,0.008099,11.533531,11.535427,-0.001895,0.515252,0.517164,-0.001912,0.021604,0.021471,0.000133,2.378127,2.382551,-0.004424,0.0,0.0,0.0
cacf5097de53eb9db8566f3f48522bda,random,84.108271,84.111985,-0.003714,11.732097,11.726641,0.005455,0.181672,0.181214,0.000459,2.311368,2.310356,0.001012,1.666592,1.669804,-0.003212,0.0,0.0,0.0
10d3ed411fb2f2e829fd5574e76160cc,random,83.087027,83.086016,0.001011,11.363182,11.363672,-0.000491,0.244664,0.243598,0.001066,0.666919,0.663154,0.003765,4.638209,4.64356,-0.005351,0.0,0.0,0.0
