slide_id,level_count,pyramid_level_index,l0_dims,pyramid_dims,downsample_factor,pixels_at_pyramid,pixels_at_l0
91939627c20f2e47fa4be433363bfd6d,3,2,5376x20736,336x1296,16.0,435456,111476736
eb341a42f1e27d3af125fa1bcba8c799,3,2,7936x23296,496x1456,16.0,722176,184877056
b470c2276d978f63d5b1c8a5a9446212,3,2,18176x8960,1136x560,16.0,636160,162856960
c9c295e486e0f7f7dfb4f0fde6ff8240,3,2,7680x27392,480x1712,16.0,821760,210370560
ba79259f809a3397afb951e3f604bd90,3,2,32512x8192,2032x512,16.0,1040384,266338304
8e6db17e55f22d47faaeed270a79d288,3,2,18944x5376,1184x336,16.0,397824,101842944
cf8ab5a2ce0ff0b3d025ddb3ba1937a2,3,2,28160x5632,1760x352,16.0,619520,158597120
687d89772580c411d434b346e1e6c505,3,2,4352x6656,272x416,16.0,113152,28966912
a36b91d58c9dae658708fac3ae14b969,3,2,15872x12032,992x752,16.0,745984,190971904
fc5e5378432ef4e92306f05b309c4ebb,3,2,12288x29952,768x1872,16.0,1437696,368050176
f9404d959c3c8f6ece797507374dc386,3,2,7680x7424,480x464,16.0,222720,57016320
2e2d3ed2069dd704dde97c3d6d194b94,3,2,4864x35840,304x2240,16.0,680960,174325760
b6d692b8d90c1bd9273bc36690796a8e,3,2,22528x6144,1408x384,16.0,540672,138412032
0e204892570cac5d8352fac145f1e66c,3,2,19200x9984,1200x624,16.0,748800,191692800
f5440c7daa9981ec029c955999443de8,3,2,28160x7680,1760x480,16.0,844800,216268800
1364c10e1e7f1ad0457f649a44d74888,3,2,3840x14592,240x912,16.0,218880,56033280
f964b9543ed1fcd3fcda049d744a50bd,3,2,8960x27136,560x1696,16.0,949760,243138560
f40c17b3402d3937434e08f419ebb3d9,3,2,17664x12544,1104x784,16.0,865536,221577216
72b46ce40040292c972e5c8fc84f857d,3,2,15104x24576,944x1536,16.0,1449984,371195904
6210281e975f738e94a5643d366e3b09,3,2,12544x31488,784x1968,16.0,1542912,394985472
4520cef8cba78d1b80ed7de894c416b5,3,2,24064x17664,1504x1104,16.0,1660416,425066496
6210ddaf9f3e233411579da0ea9a0484,3,2,13824x24832,864x1552,16.0,1340928,343277568
b4e5cfe0f1616168c2a4524202c85327,3,2,9984x18944,624x1184,16.0,738816,189136896
c8ea4dc8fe6c8348dcc4db4d01c0c84a,3,2,7168x32768,448x2048,16.0,917504,234881024
cacf5097de53eb9db8566f3f48522bda,3,2,8448x31488,528x1968,16.0,1039104,266010624
10d3ed411fb2f2e829fd5574e76160cc,3,2,11008x23552,688x1472,16.0,1012736,259260416
c2ded53ea0656e34e71bc8993b90650d,3,2,7680x30976,480x1936,16.0,929280,237895680
8546b73cb1496ba85aed909ee151290b,3,2,23040x8192,1440x512,16.0,737280,188743680
d5bf3e7b1d30bf762b03b60d88177b20,3,2,35840x14592,2240x912,16.0,2042880,522977280
367f122e80bcd0bffc02f6a04c1d8234,3,2,7680x12544,480x784,16.0,376320,96337920
