image_id,pen_mark_fraction,pen_colors
3795ba90ba4303d37accaa4eaf82c747,0.00028042,blue
5c49f67702374025434387903daffdb7,0.00042276,green
87cce4cbe31864141051ce2018ed29df,0.00070523,black
53c13f2dba313251cb0e86eeedda6bbd,0.0004604,blue
17e370eedaa11c265e5cabb3601a2fd2,0.00103934,black
8fb12946881047895dd14ed095a99367,0.00074296,blue
49db41e3293630f0b1a566d7c9a8f07e,0.00163774,green
1c3cb1efbcd042da9d3f1939f4c8418d,0.00053078,black
107694232cb071255848ddca5efbe061,0.00066581,black
898c2d26d40846143d477f1b625971a1,0.00887253,"blue,black"
658be675223ffa5509203009eb7bba89,0.00343938,blue
7baf8e46e8720b8b2d379d2ed3b776b2,0.00326801,black
128ade97a27c446fb413b1787426760c,0.00085078,green
196f3b66be713d67db88cd412ed8768d,0.00017406,blue
e3a34f11358350448279e275774a0263,0.00086296,black
c3064f9d63880b237fb22d242a88bac9,0.00379334,black
e4bbe0282fbed7b4c2e82a36fec5246b,0.00052008,black
f3e61a3dec438a366b62df1db47a4cd3,0.00118715,black
13f815f5a33a985e3c9a9f2b2e347e5b,0.00594131,blue
d6d59930bb06a2c82edefc477a8a7639,0.00663264,black
