slide_id,tissue_area_px,pen_area_px,pen_pct_of_tissue,flagged,status
107694232cb071255848ddca5efbe061,11360,1092,9.612676,True,ok
128ade97a27c446fb413b1787426760c,7230,0,0.0,False,ok
13f815f5a33a985e3c9a9f2b2e347e5b,3326,10,0.300661,True,ok
17e370eedaa11c265e5cabb3601a2fd2,6589,0,0.0,False,ok
196f3b66be713d67db88cd412ed8768d,7318,0,0.0,False,ok
1c3cb1efbcd042da9d3f1939f4c8418d,12584,208,1.652893,True,ok
3795ba90ba4303d37accaa4eaf82c747,10381,4,0.038532,False,ok
49db41e3293630f0b1a566d7c9a8f07e,8011,0,0.0,False,ok
53c13f2dba313251cb0e86eeedda6bbd,5654,0,0.0,False,ok
5c49f67702374025434387903daffdb7,4795,0,0.0,False,ok
658be675223ffa5509203009eb7bba89,9605,1171,12.191567,True,ok
7baf8e46e8720b8b2d379d2ed3b776b2,5018,0,0.0,False,ok
87cce4cbe31864141051ce2018ed29df,9661,0,0.0,False,ok
898c2d26d40846143d477f1b625971a1,4843,73,1.50733,True,ok
8fb12946881047895dd14ed095a99367,9949,536,5.387476,True,ok
c3064f9d63880b237fb22d242a88bac9,5903,988,16.737252,True,ok
d6d59930bb06a2c82edefc477a8a7639,8974,0,0.0,False,ok
e3a34f11358350448279e275774a0263,8325,47,0.564565,True,ok
e4bbe0282fbed7b4c2e82a36fec5246b,6585,0,0.0,False,ok
f3e61a3dec438a366b62df1db47a4cd3,13855,0,0.0,False,ok
