slide_id,hsv_flagged,pen_mark_fraction,pen_colors,pen_area_px,pen_pct_of_tissue,flagged
0018ae58b01bdadc8e347995b69f99aa,False,0.0,,0,0.0,False
006f6aa35a78965c92fffd1fbd53a058,False,0.0,,0,0.0,False
007433133235efc27a39f11df6940829,False,0.0,,1,0.020657,False
0076bcb66e46fb485f5ba432b9a1fe8a,False,3.788e-05,,0,0.0,False
008069b542b0439ed69b194674051964,False,0.0,,0,0.0,False
00928370e2dfeb8a507667ef1d4efcbb,True,0.00185334,black,0,0.0,False
00951a7fad040bf7e90f32e81fc0746f,True,0.00220404,green,0,0.0,False
00a26aaa82c959624d90dfb69fcf259c,False,0.0,,0,0.0,False
00a7fb880dc12c5de82df39b30533da9,False,0.0,,0,0.0,False
00bbc1482301d16de3ff63238cfd0b34,False,0.0,,2,0.022558,False
00c15b23b30a5ba061358d9641118904,False,0.0,,0,0.0,False
00c46b336b5b06423fcdec1b4d5bee06,True,0.00117561,blue,0,0.0,False
00c52cb4db1c7a5811a8f070a910c038,False,0.0,,173,2.005332,True
00ca0c23961b5510be46c917be11c43e,True,0.00022005,blue,17,0.134515,True
00e6511435645e50673991768a713c66,False,2.5e-07,,12,0.118285,True
00ed4dbf9af6cc102e04cc9a42b313e2,True,0.00146489,black,0,0.0,False
00f6ea010b008e7b3635910a13b165a5,False,5.217e-05,,0,0.0,False
010670e9572e67e5a7e00fb791a343ef,False,0.0,,17,0.168534,True
010dea54bfd0a4a1eb1c0719949bb4a4,False,0.0,,0,0.0,False
01227af585a47c16680f927d21a7f06a,True,0.00554985,blue,3,0.059113,False
01571191abf6e8e209111e819823759b,False,0.0,,0,0.0,False
01642d24ac5520681d6a20f6c42dc4fe,True,0.00049607,green,0,0.0,False
0186f4811c9d089707d9dc7460160d88,False,2.298e-05,,0,0.0,False
018eabc8f4503ab89d0725b430e4808f,False,5e-07,,0,0.0,False
019f98ef49bcbff0b0bb513b7d66fcf5,False,7.53e-06,,0,0.0,False
01a5e35b1ae21f3cfbe100b4b6aef451,False,0.0,,0,0.0,False
01a9472f2b061f80bb7c125dfa9771e5,False,9.48e-06,,47,0.404093,True
01ad256f991cc99f46f8065cdf0bda01,False,0.0,,1,0.013443,False
01afe81220f729cf1c5b4d99f3abe559,False,0.0002798,,0,0.0,False
01c669f3f6a18197285bdf357b45d477,False,0.0,,0,0.0,False
01d20d68bce47bec01d816b893630f18,True,0.00634466,blue,510,5.326371,True
01d647e17ee868d2991c73a247c28cf9,False,8.5e-07,,0,0.0,False
01e5bb47fb34f075f87cbfbc8d630124,False,0.0,,0,0.0,False
01f25f6392771aa0895dbbafba05054a,False,5.3e-07,,0,0.0,False
02146992e1884bf87012fd0d5d05cdb9,False,0.0,,0,0.0,False
0214df71ae527e2144021178c453d204,False,0.0,,38,0.308467,True
022544d1446c2c44f8ca8ff53262dc5b,True,0.00069988,black,0,0.0,False
022a0bb891701b0161a7d4518415d0f4,False,0.0,,0,0.0,False
0240270d611683829ea5bee2a8c52eb0,False,0.0,,0,0.0,False
02577ddcd838f2559936453b6071dc17,False,0.0,,1,0.00993,False
026081211406349c85c3e5b4fc4b6ff0,False,1.595e-05,,2,0.022761,False
026dcf3b549e8fb23143ea82023f58be,True,0.00397017,blue,0,0.0,False
0277b937ddc8679ae69b3c54bfd714f1,False,0.0,,0,0.0,False
02805e3e20ef629ffeeee1e68cf24ab0,False,0.0,,32,0.280333,True
0280f8b612771801229e2dde52371141,False,0.0,,15,0.251678,True
028dc05d52d1dd336952a437f2852a0a,False,0.0,,0,0.0,False
