cluster_id,shape_iou,old_keep,old_drop,new_keep,new_drop,old_keep_dark,old_drop_dark,old_keep_pen,old_drop_pen
1,0.9773,64a33315a1c5d2f6aa9f04a9c2ff4650,6db636a5372b53a603ac3a5bde9abba0,6db636a5372b53a603ac3a5bde9abba0,64a33315a1c5d2f6aa9f04a9c2ff4650,0.03431030927835051,0.025297916666666666,0,0
2,0.9669,e6ba38a0847082104bfcbd7ec1bf6f49,ddd302c374af146eeff0408e2b5da995,ddd302c374af146eeff0408e2b5da995,e6ba38a0847082104bfcbd7ec1bf6f49,0.003832142857142857,0.0022749999999999997,0,0
4,0.9608,17e370eedaa11c265e5cabb3601a2fd2,eaa98a57d64de34ccb77c1af98e1d39a,eaa98a57d64de34ccb77c1af98e1d39a,17e370eedaa11c265e5cabb3601a2fd2,1.299675939849624,1.2653138461538462,8,5
5,0.9606,cca735c397880e88192e97d68b97754e,4abf4f8b4b7768af6eb06d3ef31b1e09,4abf4f8b4b7768af6eb06d3ef31b1e09,cca735c397880e88192e97d68b97754e,1.2256728323699422,1.017318285714286,5,3
7,0.9516,0efdb66c93d6b474d93dfe41e40be6ca,3112c494c644128c2a0f7fbc1e9a23f1,3112c494c644128c2a0f7fbc1e9a23f1,0efdb66c93d6b474d93dfe41e40be6ca,0.007358333333333332,0.0037558823529411757,0,0
8,0.9514,e8c4df5d82b20ace2d04f178e70b6dae,8751f19f273f69ba8ea5c49dc9dd4654,8751f19f273f69ba8ea5c49dc9dd4654,e8c4df5d82b20ace2d04f178e70b6dae,0.0015372549019607845,0.0005462962962962962,0,0
10,0.9506,7a7df1b2eabf6a5b55cba56cd312fcc5,96ebc7a4719a1f87e0d0c6623e32e48a,96ebc7a4719a1f87e0d0c6623e32e48a,7a7df1b2eabf6a5b55cba56cd312fcc5,1.1892206611570248,1.1443438016528922,2,2
11,0.95,f93148f68ff93c84d40d566a6cd1dbab,9b6cbe06b1f3e5620fd9ac5e69a8cb4e,9b6cbe06b1f3e5620fd9ac5e69a8cb4e,f93148f68ff93c84d40d566a6cd1dbab,0.0053362162162162155,0.004598924731182796,0,0
13,0.9497,330823f8120df480aefdbf1d107747ba,8143e5473a650fd79750a6b4cf7c52e1,8143e5473a650fd79750a6b4cf7c52e1,330823f8120df480aefdbf1d107747ba,1.7547968421052635,1.738375,9,10
15,0.9466,bacad594d4d9ad882eda3a6738326d52,264e5e8732450598190acec51da65cdc,264e5e8732450598190acec51da65cdc,bacad594d4d9ad882eda3a6738326d52,0.052803157894736844,0.048827272727272726,0,0
