pair_num,keep_id,drop_id,reason,shape_iou
238,ddbeff8437def5f80c4890b394711ec2,62202e376a671af629cc7c309561ff56,user cleanliness,0.514
358,6ae973c0f3341e2eb19e08dfe4ee42fc,f0bb29042dfb17421aac02138f8e9d20,"user: keep clean 6ae97, drop dirtier twin",0.3419
1,8fc10ce3188de7e919b9f08fe5e6993c,ac2980962fa337ca0527b396bc62cf07,unmarked_lower_iou_implied_twin_keep_cleaner,0.6999
2,d396752533648e870437e895a2a1d175,b58d4168888e852385cc411b9bf9b783,unmarked_lower_iou_implied_twin_keep_cleaner,0.6997
4,6bfa122b5832ffd442a8123153f5d252,afd477abb13dea3e8d517efcb19233c2,unmarked_lower_iou_implied_twin_keep_cleaner,0.6983
6,51f70b98526218f921f34b110f55ceff,63119b7889164b2153a2ec1c829ea853,unmarked_lower_iou_implied_twin_keep_cleaner,0.6962
7,97659f526c8c25f29175c9c5d36d31e7,2b340c9844077ddcdf641adac5f116e3,unmarked_lower_iou_implied_twin_keep_cleaner,0.6956
8,3b60ca0ed4e75480321776ba7aeba987,6d5cb5353d700dfd4e6380508535e41b,unmarked_lower_iou_implied_twin_keep_cleaner,0.6954
9,41d7b7080bd5422ea9e0539b9f085c3a,529ba9e8521115b9d2a606a2dd5ef7e9,unmarked_lower_iou_implied_twin_keep_cleaner,0.6949
10,f6bdf05486c92f8f69be83c174756110,fd8c1f420a7c1c28bab654d0d8d3a6ba,unmarked_lower_iou_implied_twin_keep_cleaner,0.6947
12,91e29de2d26bec1ecc377921c0ff0a50,098f7f7024f5c0de68e771c7273fc273,unmarked_lower_iou_implied_twin_keep_cleaner,0.6945
13,74121dc7165c19a5d72bdbe3eaeb90d2,78d0d8888cb53a305dd5931d7cdb84eb,unmarked_lower_iou_implied_twin_keep_cleaner,0.6942
14,aa3c01d5326e3ed117d9266d5ed6ef37,554c017aec32fb7b6448c3ba22d3f0e4,unmarked_lower_iou_implied_twin_keep_cleaner,0.694
16,16d80dbe6d4b3bf22ecf54833b17f3ec,5c975e69eee9359ebe8da3f2a376fefb,unmarked_lower_iou_implied_twin_keep_cleaner,0.6933
18,5e9265276fdaddcc7b37bb29f1e78d04,64bad048716c6feb71b7e86d4de897ef,unmarked_lower_iou_implied_twin_keep_cleaner,0.6922
19,a656612b4ddb61780536400c117a9b91,e90c8fb1ab71a448843dfec8f21a15c8,unmarked_lower_iou_implied_twin_keep_cleaner,0.6921
22,2592cfd1d3e053e519598bab9423d279,18533bc08197fa92ff063ad89ceddc89,unmarked_lower_iou_implied_twin_keep_cleaner,0.6911
23,1d1163f720942d79ca68721d8f634914,4ba2c9a9103bbbaa575dfb3b888dc195,unmarked_lower_iou_implied_twin_keep_cleaner,0.6907
24,487dd5dc98d2980278b5be229dd56e60,5ad5cca8bc4c96585d42a6f8369be1e7,unmarked_lower_iou_implied_twin_keep_cleaner,0.6896
25,02a3870e56dbcb6afd73546af54a8457,19f3f3265bd80f1ee68cff968541639a,unmarked_lower_iou_implied_twin_keep_cleaner,0.689
26,51aa1de7c4bbf08d3dacf37183832cbe,85ec340020fb63c782e84901880e8684,unmarked_lower_iou_implied_twin_keep_cleaner,0.689
29,303090fcc31ecc2584e6addeadfa1402,dc2ec851fcbf594f11b023387ac15003,unmarked_lower_iou_implied_twin_keep_cleaner,0.6878
31,a36ee9f2bc558182239d85d1f7a74e9b,dff285c9260f7f68f4e97fb6abd32043,unmarked_lower_iou_implied_twin_keep_cleaner,0.6851
33,281fcc161aa1fe329f1ab8d9ae73636b,231c7be81560497b2015a0b9a9a04d32,unmarked_lower_iou_implied_twin_keep_cleaner,0.6844
34,86f0a558cecdc39f6ace44364795f747,223e1179a9dcf7c13871234edc99fc1b,unmarked_lower_iou_implied_twin_keep_cleaner,0.6838
37,2ee5b3ee58d54264c2a037ea1c0ada4b,6392947d42a28861f68363b1f2e536e5,unmarked_lower_iou_implied_twin_keep_cleaner,0.6802
38,5c6a9d25b7c602062f4095c2518aa46a,a1f79e44db2ca88a3c1b330af1343d61,unmarked_lower_iou_implied_twin_keep_cleaner,0.6797
39,b790c95b8efb85a4e600533cf0444937,630ead3f5eee9ca3d292d65a785d480b,unmarked_lower_iou_implied_twin_keep_cleaner,0.6792
40,efffcaf09935e68555f74277c387220a,c15bffae592596f8f566239c725ec577,unmarked_lower_iou_implied_twin_keep_cleaner,0.6792
41,8e25584bd03155d24a2adc00517a38e8,0aa6472328e4807ba54a807b8332da0f,unmarked_lower_iou_implied_twin_keep_cleaner,0.6791
42,f5b849625162c608e13f0c04d24078d6,97b36902754bad28b6fd335ddfc6db55,unmarked_lower_iou_implied_twin_keep_cleaner,0.6787
43,29cf9fd036abf9bb241580d247b39b1b,3bdd92d91566a9719c76ca639db6a143,unmarked_lower_iou_implied_twin_keep_cleaner,0.6786
45,6ce32756e33b10bd4569aa15b5db3355,02e5b03f8ea7ea2787101b758291d162,unmarked_lower_iou_implied_twin_keep_cleaner,0.6775
46,a9534d1d06ad290d690bd88a164b9657,349b1b6fa6ffc5625b8eedabf03d5948,unmarked_lower_iou_implied_twin_keep_cleaner,0.6774
47,6e694031c3e263b2f9da1aa122897266,072f1b5740579bbe7f69afdd33bee8d1,unmarked_lower_iou_implied_twin_keep_cleaner,0.6761
49,47de9353032a12ede4ea28c8217b8a35,ef928aed9549e5dea8d67c57fb79e45f,unmarked_lower_iou_implied_twin_keep_cleaner,0.675
