cluster_id,shape_iou,old_keep,old_drop,new_keep,new_drop,new_keep_dark,new_drop_dark,new_keep_pen,new_drop_pen
189,0.8366,2f5379bf67ca1190c7f168736d9d8efc,7e424dff3f544c36ace6d9219aea34ef,7e424dff3f544c36ace6d9219aea34ef,2f5379bf67ca1190c7f168736d9d8efc,2.6786256410256417,5.359252631578948,5,10
261,0.8028,f062f6c1128e0e9d51a76747d9018849,aff9deb3016a3ba5db5a5edb22ecc982,aff9deb3016a3ba5db5a5edb22ecc982,f062f6c1128e0e9d51a76747d9018849,1.6081560975609754,3.5134875,3,5
266,0.8011,b1fbe9701b14bf285318abcbf002d5ea,92d2a85fdb81d51f59c5781eb2c5d0a8,92d2a85fdb81d51f59c5781eb2c5d0a8,b1fbe9701b14bf285318abcbf002d5ea,2.2758559322033896,5.949813636363636,5,12
277,0.7964,c2296406fa9de6a029e798d89a1c8734,9335fbc722c3feb51e73c142238a0751,9335fbc722c3feb51e73c142238a0751,c2296406fa9de6a029e798d89a1c8734,0.0012848484848484848,1.3899555555555554,0,2
286,0.7943,184a184ac82d72d499f99b67d6a1c631,a7baba733c9e351d8938a493e9e96480,a7baba733c9e351d8938a493e9e96480,184a184ac82d72d499f99b67d6a1c631,0.0025461538461538464,1.6172777777777778,0,9
319,0.7812,35c7912e941c9bf21594deeda6c891e2,3e3d938e4279c4339473f26a7eb5020e,3e3d938e4279c4339473f26a7eb5020e,35c7912e941c9bf21594deeda6c891e2,0.9512333333333335,2.2806114285714285,1,3
323,0.7795,c4bcc0bc2da6444a5e4300f7bd2f577c,2ee68cce1ed0a65cf352ed55488979a0,2ee68cce1ed0a65cf352ed55488979a0,c4bcc0bc2da6444a5e4300f7bd2f577c,5.510394736842105,5.563506606606607,78,91
329,0.7772,c2cbc885637a451cb0218a599e1169c1,7889a8d815877c63420df1750271bd24,7889a8d815877c63420df1750271bd24,c2cbc885637a451cb0218a599e1169c1,0.007181005586592179,0.835486111111111,0,3
349,0.7709,8dd1d17e02123008c58b1ab3652a613f,b35a329a109e2b210463e639c8141f39,b35a329a109e2b210463e639c8141f39,8dd1d17e02123008c58b1ab3652a613f,1.327029381443299,3.6278171428571424,10,49
363,0.7654,c286cf324f3d429aaf5d3f903e5ce634,e5c110d0ec8087bc89e6f6a528a690ce,e5c110d0ec8087bc89e6f6a528a690ce,c286cf324f3d429aaf5d3f903e5ce634,1.7511705882352944,2.7305888475836433,19,31
433,0.7411,3babb9b35e40e2bea17239a5a3ffeaec,92d2d3c1efe901481be93f2f1b4cc2df,92d2d3c1efe901481be93f2f1b4cc2df,3babb9b35e40e2bea17239a5a3ffeaec,0.027160689655172415,4.217138596491227,0,21
486,0.721,ccc369b1011a0bf8ab0d11b2ac495bc8,b77a9076b560f05dec87198633e8e00b,b77a9076b560f05dec87198633e8e00b,ccc369b1011a0bf8ab0d11b2ac495bc8,0.014275177304964538,1.744454716981132,0,7
496,0.7169,e187fc91f755db1d0885f19a0b333523,476f0dfb144aee7d5422dcc3b2b97a9f,476f0dfb144aee7d5422dcc3b2b97a9f,e187fc91f755db1d0885f19a0b333523,0.16383235294117648,1.4712014705882352,1,2
501,0.7149,df18ac8990e89990e4b908f4d77c3aa2,64c46cb52749df98dafa527d439fa606,64c46cb52749df98dafa527d439fa606,df18ac8990e89990e4b908f4d77c3aa2,0.01508728813559322,5.163499310344828,0,16
505,0.7136,47f34de873955e8e03e954e3882d747f,aa176f6d6e5674ccf6e19ef3aeb3e243,aa176f6d6e5674ccf6e19ef3aeb3e243,47f34de873955e8e03e954e3882d747f,0.05609096774193548,1.212688961038961,0,4
512,0.712,a3ca38ce1d10c44103ba22d137be7c08,be8d828b7d90bca42ca4274f57e70cf5,be8d828b7d90bca42ca4274f57e70cf5,a3ca38ce1d10c44103ba22d137be7c08,0.028550193050193053,0.9417092936802973,0,7
516,0.7102,bbcd685ce62f785a441a2c8246fa93a6,908f1b399873681da17cd24b94c85714,908f1b399873681da17cd24b94c85714,bbcd685ce62f785a441a2c8246fa93a6,0.33413988095238095,2.9888857142857144,1,26
523,0.7084,04f28a8f394396872b7a9ede5041a80c,706a5789a3517393a583829512a1fb8d,706a5789a3517393a583829512a1fb8d,04f28a8f394396872b7a9ede5041a80c,2.540888235294118,3.553347398843931,21,21
528,0.7071,86d4621be3deca4f8d461e3abce7d585,214c897059e8c37741b74163b21ef4c9,214c897059e8c37741b74163b21ef4c9,86d4621be3deca4f8d461e3abce7d585,1.8081272727272728,4.377720657276995,16,22
543,0.7011,18157fa5a744739d34a3c498e4aa8dab,e8b5dc4dc51b355c689b8bed7d8cc7c1,e8b5dc4dc51b355c689b8bed7d8cc7c1,18157fa5a744739d34a3c498e4aa8dab,0.002034562211981567,5.5708340000000005,0,28
