image_id,sources,tier,frozen_on
05a377208625fce1afdc4878e3185ca4,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
05b09773ad1b34275f0b5adee3c650ab,rescan:user_proposalA_keeps_decisions.csv,4.0,2026-08-09
061054331a952dd1c9df45c283d756b0,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
068b0e3be4c35ea983f77accf8351cc8,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
06a7dc123ee1cd1a88b5563bb332666c,user_multi_C1_35_final_decisions.csv,3.0,2026-08-09
074c3e01525681a275a42282cd21cbde,user_marked_not_same_lower_iou.csv|user_marked_not_same_lower_iou_forced_train.csv,2.0,2026-08-09
079fed45c08f216f49fe4aff84d7e8d2,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
0b373388b189bee3ef6e320b841264dd,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
0bce55d17bcc628e62c843a2420e723d,user_multi_C1_35_final_decisions.csv,3.0,2026-08-09
0bfcecec15bb9bef0c8e59e2776ee3c7,user_multi_C1_35_final_decisions.csv,3.0,2026-08-09
0c26185c4a50226bc489999b62860aab,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
0c5c2d16c0f2e399b7be641e7e7f66d9,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
0e1f3c283a5756b1372fc67e5230dd35,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
10cc280acc57c3653201a07bc07ba6a9,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
11987580ef3e38921af9931918c88a26,user_multi_C1_35_final_decisions.csv,3.0,2026-08-09
11a715facad7b619e3213ce126be1c77,user_multi_C1_35_final_decisions.csv,3.0,2026-08-09
12942b14ee8cde158e33d537cc3582a9,user_multi_C1_35_final_decisions.csv,3.0,2026-08-09
130e070fe606be39506ac1dc4bd7f5bf,user_multi_C1_35_final_decisions.csv,3.0,2026-08-09
137424bd3da854f6a78b917324fb5bdb,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
13813facc985c2ea007fdf764ef98a5a,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
1392751dc2ff4e148c89fe975c5a505b,user_marked_not_same_lower_iou.csv,2.0,2026-08-09
