cluster_id,action,image_id,kept_twin,shape_iou,n_members_alive
1,keep,fd05529859cf5ee53ab967a009dc7c06,,,26
1,drop,e29f49849de6ff182d115fe2aa6cac3a,fd05529859cf5ee53ab967a009dc7c06,0.7629,26
1,keep,5740b936c0d44c94933f19203ad483ba,,,26
1,drop,5a6125bdeb2906ba9267a26e98de56e5,5740b936c0d44c94933f19203ad483ba,0.7412,26
1,keep,d6554a3cff6d6ceb5597382238954aa1,,,26
1,keep,e241df65ca9194cb95c86f93ddd85bf7,,,26
1,drop,f344628cd3bfd6e1cd80456bca9358ab,d6554a3cff6d6ceb5597382238954aa1,0.74,26
1,keep,fe6984b9e99ee331bb510c61f9e5ccd4,,,26
1,keep,2a484c7522f0a5e3a41654eb2c452fd8,,,26
1,keep,338e30b609bbf80246203caf63a2f0a0,,,26
1,drop,69f0dfb6f42c910861aa0bbb23a12639,338e30b609bbf80246203caf63a2f0a0,0.774,26
1,drop,5ffcf2372542336fe4ee3585bd07b6f2,e241df65ca9194cb95c86f93ddd85bf7,0.7544,26
1,drop,edb53390a53397b29cb85e21501b8efb,338e30b609bbf80246203caf63a2f0a0,0.7632,26
1,drop,ae7dd6b6b0749f3b9b3001629b9db512,2a484c7522f0a5e3a41654eb2c452fd8,0.7765,26
1,drop,3f3f6a1f515cd9ae79e323a4759f0888,e241df65ca9194cb95c86f93ddd85bf7,0.7534,26
1,keep,12942b14ee8cde158e33d537cc3582a9,,,26
1,drop,8efdb7429bd48a9e77862d5af5351267,12942b14ee8cde158e33d537cc3582a9,0.7588,26
1,drop,b1f6f5539ae4fdb9b931788dda704712,2a484c7522f0a5e3a41654eb2c452fd8,0.7406,26
1,keep,44f20df33112cfc1ae49f18ee2efc913,,,26
1,drop,48896f2b866e9694586b3377025c4927,12942b14ee8cde158e33d537cc3582a9,0.7114,26
1,drop,5497b569f15cb7ea779cc176d1faebe0,44f20df33112cfc1ae49f18ee2efc913,0.7591,26
1,drop,9098b613c1e7dc1e50790bbdaafd4828,5740b936c0d44c94933f19203ad483ba,0.7042,26
1,keep,b01f92809dbfa747dc4d1881f400d99b,,,26
1,drop,6d2cf90cf2df03cf1d9f2eb38362f58d,fd05529859cf5ee53ab967a009dc7c06,0.7212,26
1,drop,8a1520420384d8c11733edd40969effc,b01f92809dbfa747dc4d1881f400d99b,0.7435,26
1,drop,fa741c964934cb194701d6630356adb0,d6554a3cff6d6ceb5597382238954aa1,0.7468,26
2,keep,a3794ec31a02fbf429486dd464f83d25,,,19
2,keep,15be10044a3e4b704d0822432416fde4,,,19
2,drop,d2e8ff5257ef522c1d7bef30c96d06df,a3794ec31a02fbf429486dd464f83d25,0.8393,19
2,drop,bfc5aa2abac6018b587819bf87cb1f9a,15be10044a3e4b704d0822432416fde4,0.8558,19
2,keep,82c289e2fb53713789599f77cf368bc6,,,19
2,keep,b95035c00e6e99f3b4e3cd210700f6ce,,,19
2,keep,6d567f83ca7130da285fcb26d3537762,,,19
2,drop,757b927de93c8083c392f2248529d29a,82c289e2fb53713789599f77cf368bc6,0.7296,19
