cluster_id,image_id,action
1,12942b14ee8cde158e33d537cc3582a9,keep_safe
1,2a484c7522f0a5e3a41654eb2c452fd8,keep_safe
1,338e30b609bbf80246203caf63a2f0a0,keep_safe
1,3f3f6a1f515cd9ae79e323a4759f0888,keep_safe
1,44f20df33112cfc1ae49f18ee2efc913,keep_safe
1,48896f2b866e9694586b3377025c4927,keep_safe
1,5497b569f15cb7ea779cc176d1faebe0,keep_safe
1,5740b936c0d44c94933f19203ad483ba,keep_safe
1,5a6125bdeb2906ba9267a26e98de56e5,keep_safe
1,5ffcf2372542336fe4ee3585bd07b6f2,keep_safe
1,69f0dfb6f42c910861aa0bbb23a12639,keep_safe
1,6d2cf90cf2df03cf1d9f2eb38362f58d,keep_safe
1,8a1520420384d8c11733edd40969effc,keep_safe
1,8efdb7429bd48a9e77862d5af5351267,keep_safe
1,9098b613c1e7dc1e50790bbdaafd4828,keep_safe
1,ae7dd6b6b0749f3b9b3001629b9db512,keep_safe
1,b01f92809dbfa747dc4d1881f400d99b,keep_safe
1,b1f6f5539ae4fdb9b931788dda704712,keep_safe
1,d6554a3cff6d6ceb5597382238954aa1,keep_safe
1,e241df65ca9194cb95c86f93ddd85bf7,keep_safe
1,e29f49849de6ff182d115fe2aa6cac3a,keep_safe
1,edb53390a53397b29cb85e21501b8efb,keep_safe
1,f344628cd3bfd6e1cd80456bca9358ab,keep_safe
1,fa741c964934cb194701d6630356adb0,keep_safe
1,fd05529859cf5ee53ab967a009dc7c06,keep_safe
1,fe6984b9e99ee331bb510c61f9e5ccd4,keep_safe
2,15be10044a3e4b704d0822432416fde4,keep_twin_survivor
2,25a27922edaf3f338e8693ededcbe1c2,keep_safe
2,478261713d5379009e2f1be1ad3deb63,keep_safe
2,500b90c3e7eba2e3b25818a8c1834d45,keep_safe
2,6b53efd54fcafb28657d482fc492fd61,keep_safe
2,6d567f83ca7130da285fcb26d3537762,keep_safe
2,757b927de93c8083c392f2248529d29a,keep_safe
2,82c289e2fb53713789599f77cf368bc6,keep_safe
2,85476f0cdde5f4f30e47541d5ba44586,keep_safe
2,a3794ec31a02fbf429486dd464f83d25,keep_safe
2,b13961504ea859ff34a150bc19fed335,keep_safe
2,b95035c00e6e99f3b4e3cd210700f6ce,keep_safe
2,bfc5aa2abac6018b587819bf87cb1f9a,keep_safe
2,d2e8ff5257ef522c1d7bef30c96d06df,keep_safe
2,d49075075de98ba225b3306bc8cfca44,keep_safe
2,da84230d35b22a900b153d5cb969a7a7,keep_safe
2,eb9d4025d77205c0dda3d5f7431ce1b8,drop_user_twin
2,f0aa8148ce45747389ea072aaaae57ae,keep_safe
2,fd34d5fda33d3e8281837a2a4511f7fd,keep_safe
3,27f3dbbf2b9a5e59f508dc6b0c23d5cb,drop_user_twin
3,49764620319a820dfd2e6738861b1aa0,keep_safe
3,81cdd8883ff6f9a18e75f2085db633be,keep_safe
3,87a1d44e21700bd0eb3db27371eb3999,keep_twin_survivor
3,9e0fa510b3e5a89ab765dfa48957a4cc,keep_safe
3,a28b628b33608b2cdadff12fc6aa2537,keep_safe
