id_a,id_b,source,frozen_on
05a377208625fce1afdc4878e3185ca4,1a33d8ea1893170a972d67e493d59396,user_marked_not_same_lower_iou.csv,2026-08-11
05b09773ad1b34275f0b5adee3c650ab,294017fb97e4fec299eb8e83fd2d3be2,proposalA_keep_vs_cluster_keep,2026-08-11
061054331a952dd1c9df45c283d756b0,337917b03be19ec176ed5b3e77f6e55b,user_marked_not_same_lower_iou.csv,2026-08-11
068b0e3be4c35ea983f77accf8351cc8,361e1ffe1964442b325efbfb9f682a26,user_marked_not_same_lower_iou.csv,2026-08-11
06eda4a6faca84e84a781fee2d5f47e1,264e5e8732450598190acec51da65cdc,user_marked_not_same_rank25_unknown.csv,2026-08-11
07106a451fdebeaa73f2db13f295bfb1,149fd3c5d3ede543589633ea0e711c24,user_marked_not_same_rank25_unknown.csv,2026-08-11
074c3e01525681a275a42282cd21cbde,6d9a037aa211ac62d0701d625de70904,user_marked_not_same_lower_iou.csv|user_marked_not_same_lower_iou_forced_train.csv,2026-08-11
079fed45c08f216f49fe4aff84d7e8d2,1879de2690c241fab002235b2d6e0d6a,user_marked_not_same_lower_iou.csv,2026-08-11
0b373388b189bee3ef6e320b841264dd,25961aea3db8652eeb0bbce7b0b539e0,user_marked_not_same_lower_iou.csv,2026-08-11
0c26185c4a50226bc489999b62860aab,c04e3f99d8842fed006ee780528e3241,user_marked_not_same_lower_iou.csv,2026-08-11
0c4c5c0598098cb221d34dc154cca14f,8ca4eea53dab8fb41f2ba01deb4e84db,user_marked_not_same_rank25_unknown.csv,2026-08-11
0c5c2d16c0f2e399b7be641e7e7f66d9,d5bf3e7b1d30bf762b03b60d88177b20,user_marked_not_same_lower_iou.csv,2026-08-11
0e1f3c283a5756b1372fc67e5230dd35,aaaf612f7fec8578ed03e4075b429a21,user_marked_not_same_lower_iou.csv,2026-08-11
10cc280acc57c3653201a07bc07ba6a9,b4f14cae24e001bad06e5a7e42f1002b,user_marked_not_same_lower_iou.csv,2026-08-11
11312ffaf33b8252eef70f9274d540ac,80645c22c26e113e14fd16a0fa837f54,user_marked_not_same_rank25_unknown.csv,2026-08-11
11312ffaf33b8252eef70f9274d540ac,a45b686526ef8327fbd9e8b770984567,user_marked_not_same_rank25_unknown.csv,2026-08-11
1141ca7040f9f32bf84531cc1b1d9f51,30703edaf3bf39b0d04685f0f0a1d43b,proposalA_keep_vs_cluster_keep,2026-08-11
137424bd3da854f6a78b917324fb5bdb,2fb988029403766a9fe962f57cefe124,user_marked_not_same_lower_iou.csv,2026-08-11
13813facc985c2ea007fdf764ef98a5a,4abd945d8f4651d4c8c8204db470a005,user_marked_not_same_lower_iou.csv,2026-08-11
1392751dc2ff4e148c89fe975c5a505b,ef77487acc19480876090652206c7e05,user_marked_not_same_lower_iou.csv,2026-08-11
1496bd10b5eb474af7b764aed67309ba,ff80dfefc41b8863b476c5840f88fec0,proposalA_keep_vs_cluster_keep,2026-08-11
16cc34b16c0b30e43e8c33f572440ae6,9a3595bbbc36b9ae6880ad57ae3a597b,user_marked_not_same_lower_iou.csv,2026-08-11
