drop_id,source,alive,protected
00928370e2dfeb8a507667ef1d4efcbb,B_safe_twin|F_confirmed_twins_gallery,False,False
00951a7fad040bf7e90f32e81fc0746f,B_safe_twin|F_confirmed_twins_gallery,False,False
00c15b23b30a5ba061358d9641118904,B_safe_twin|F_confirmed_twins_gallery,False,False
00c46b336b5b06423fcdec1b4d5bee06,B_safe_twin|F_confirmed_twins_gallery,False,False
00ca0c23961b5510be46c917be11c43e,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
01a5e35b1ae21f3cfbe100b4b6aef451,B_safe_twin|F_confirmed_twins_gallery,False,False
01d20d68bce47bec01d816b893630f18,B_safe_twin|F_confirmed_twins_gallery,False,False
0277b937ddc8679ae69b3c54bfd714f1,B_safe_twin|F_confirmed_twins_gallery,False,False
02a7b258e875cf073e2421d67ff824cd,B_safe_twin|F_confirmed_twins_gallery,False,False
02e5b03f8ea7ea2787101b758291d162,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
03426e9293f207de46b5592c001eb45c,B_safe_twin|F_confirmed_twins_gallery,False,False
0373ed8a095e0a283da690de360ccc21,B_safe_twin|F_confirmed_twins_gallery,False,False
03849b0243900d79446bb27849dc0bb2,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
046bac77a58c1be84a6418904e755280,B_safe_twin|F_confirmed_twins_gallery,False,False
04f28a8f394396872b7a9ede5041a80c,B_safe_twin|F_confirmed_twins_gallery,False,False
059ab4f2222a3231845f048a63036083,B_safe_twin|F_confirmed_twins_gallery,False,False
059cbf902c5e42972587c8d17d49efed,B_safe_twin|F_confirmed_twins_gallery,False,False
05cc3233dcb5489d2333ee62339a3226,B_safe_twin|F_confirmed_twins_gallery,False,False
060121a06476ef401d8a21d6567dee6d,B_safe_twin|F_confirmed_twins_gallery,False,False
060f04c4f2dc67635433dc0c5b878265,B_safe_twin|F_confirmed_twins_gallery,False,False
06977be07ef2afb3ddfa7733f0c04917,B_safe_twin|F_confirmed_twins_gallery,False,False
06bf945aaacb9a67d9f2439d9a7d73ea,B_safe_twin|F_confirmed_twins_gallery,False,False
06fc0c8a36a83d5150fca83d5bbb2612,B_safe_twin|F_confirmed_twins_gallery,False,False
06fe0864a99a2e0cd32cb141b7808912,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
07106a451fdebeaa73f2db13f295bfb1,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
072f1b5740579bbe7f69afdd33bee8d1,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
074d9f9ceede2e4fad8aec367a335a77,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
07afad2271546de1802035829d3b507d,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
081326594b296d372b9dd3e8af82350a,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
08134913a9aa1d541f719e9f356f9378,B_safe_twin|F_confirmed_twins_gallery,False,False
08347bf830e78903e36a81168c4342f9,B_safe_twin|F_confirmed_twins_gallery,False,False
083ab9e2c95fb0ea2b999c592fb41653,B_safe_twin|F_confirmed_twins_gallery,False,False
08459aaedfda0679aab403ababbd6ece,B_safe_twin|F_confirmed_twins_gallery,False,False
08a8d48ec979f002383f336d988673ca,B_safe_twin|F_confirmed_twins_gallery,False,False
09320344c2ed4da7bdf50d9f03b9e0be,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
095d32f7716c9ff9892a7696d2325ea1,B_safe_twin|F_confirmed_twins_gallery,False,False
098f7f7024f5c0de68e771c7273fc273,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
099a334f7290f6821e9125c37428157a,B_safe_twin|F_confirmed_twins_gallery,False,False
0a81500dc48b2bb7ee19849502360270,B_safe_twin|F_confirmed_twins_gallery,False,False
0aa6472328e4807ba54a807b8332da0f,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
0bb772b06c9e3cd1914e31b509556ebf,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
0bd0dd2e0b715471eab534e1d815ebb2,B_safe_twin|F_confirmed_twins_gallery,False,False
0bd231c85b2695e2cf021299e67a6afc,B_safe_twin|F_confirmed_twins_gallery,False,False
0c16dad59425c963a1dba7a84638ece7,B_safe_twin|F_confirmed_twins_gallery,False,False
0c21345669287d5b299ed8d7d0f6e1c2,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
0c4c5c0598098cb221d34dc154cca14f,B_safe_twin|F_confirmed_twins_gallery,False,False
0c514de56dcdc9d3b7b71173361a5b7b,B_safe_twin|F_confirmed_twins_gallery,False,False
0cee71ab57422e04f76e09ef2186fcd5,B_safe_twin|F_confirmed_twins_gallery,False,False
0d66a26a030e95c9de2173b476029b23,B_safe_twin|F_confirmed_twins_gallery,False,False
0da0915a236f2fc98b299d6fdefe7b8b,B_safe_twin|F_confirmed_twins_gallery,False,False
0e347ad243e4019fad579d3282a730f9,B_safe_twin|F_confirmed_twins_gallery,False,False
0ec5bf6cbb0a9195b4db46173203a848,B_safe_twin|F_confirmed_twins_gallery,False,False
108f2256764d82324ed9b2416b958291,B_safe_twin|F_confirmed_twins_gallery,False,False
10c7898fb3c68c0e1b268ddb57590eb3,B_safe_twin|F_confirmed_twins_gallery,False,False
10ce72448dc8291b84c67016f41fbd9a,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
11f9b8c48b800c4434f693f0e76bc3b4,B_safe_twin|F_confirmed_twins_gallery,False,False
1215adafbc41adff149c6ab127598917,B_safe_twin|F_confirmed_twins_gallery,False,False
12493fb2b3ab6e3a628dfff875cbb335,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
126ab775290fbfe771a67c94c6d50799,B_safe_twin|F_confirmed_twins_gallery,False,False
128ade97a27c446fb413b1787426760c,B_safe_twin|F_confirmed_twins_gallery,False,False
1307e25950ec553c3d02121252e6a80f,B_safe_twin|F_confirmed_twins_gallery,False,False
134160267beeb22f782f92b728cc5abd,B_safe_twin|F_confirmed_twins_gallery,False,False
134b29504e8774c3d38102d6ee81cdb9,B_safe_twin|F_confirmed_twins_gallery,False,False
140543a4d39b1a3ed0fce740ba2feb3d,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
146767f7d93d3093f647e003c9fdb0bb,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
1553a517c2865e17ba28e1fac79bec75,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
160a724e4f6c877d8175fdf7d07a0a67,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
162cd4fc05480042f1429d3eaed599d8,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
166f7618e2d9e5c9b05e4dd358f7659e,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
16a9e8227156e2d8598cd22e633610be,B_safe_twin|F_confirmed_twins_gallery,False,False
1784ab09ff0d41a78a89e36226bf3eb5,B_safe_twin|F_confirmed_twins_gallery,False,False
17a486c9252622e27c2714de7e7695b7,B_safe_twin|F_confirmed_twins_gallery,False,False
180e2320aefbf3dfecab785446bc555b,B_safe_twin|F_confirmed_twins_gallery,False,False
18157fa5a744739d34a3c498e4aa8dab,B_safe_twin|F_confirmed_twins_gallery,False,False
184a184ac82d72d499f99b67d6a1c631,B_safe_twin|F_confirmed_twins_gallery,False,False
18533bc08197fa92ff063ad89ceddc89,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
1896b63650679d190184e973cb3f2be6,B_safe_twin|F_confirmed_twins_gallery,False,False
19638106770d8d0494e4d1ccf64e1662,B_safe_twin|F_confirmed_twins_gallery,False,False
196f3b66be713d67db88cd412ed8768d,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
19cd8d1657528f7d4895398a6fd093ec,B_safe_twin|F_confirmed_twins_gallery,False,False
19f3f3265bd80f1ee68cff968541639a,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
1a0f9b33bff0a3649d79b7bf01203e04,B_safe_twin|F_confirmed_twins_gallery,False,False
1aaa3e8a1b4a738cb9a2d358dd45dbc5,B_safe_twin|F_confirmed_twins_gallery,False,False
1abb6882a5cba3d9c166736825bbe101,B_safe_twin|F_confirmed_twins_gallery,False,False
1ad725c53a59666f85d84dbea616000f,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
1bdf2c81b6b6aad6aae2818a844957f0,B_safe_twin|F_confirmed_twins_gallery,False,False
1c9bf14436cc28f6281f44f73d6fddc8,B_safe_twin|F_confirmed_twins_gallery,False,False
1d09b5fc1bf2482cdb2e3eb93b94226f,B_safe_twin|F_confirmed_twins_gallery,False,False
1d33889037497d32695ac48a786af6d5,A_lower_implied_twin,True,True
1d46f4df1dfdf3fa0a06b21e9f9ae99a,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
1df63c491243a9f5c0ad727672be2763,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
1e0379988bc494245913cc4bb10fb8c1,B_safe_twin|F_confirmed_twins_gallery,False,False
1e1f00a9410f29e4d4c9920530d883c0,B_safe_twin|F_confirmed_twins_gallery,False,False
1eab1d74f5c90e353ce5f4440b502bc3,A_lower_implied_twin|F_confirmed_twins_gallery,False,False
1ec31c0ef1a94feed5942cfb9643f077,B_safe_twin|F_confirmed_twins_gallery,False,False
