drop_id,source,alive,protected_not_twin,should_be_gone
05b09773ad1b34275f0b5adee3c650ab,confirmed_twins_keep_drop,True,False,True
3eee912c7daba1d6c5c6968ef71b5570,confirmed_twins_keep_drop,True,False,True
30703edaf3bf39b0d04685f0f0a1d43b,confirmed_twins_keep_drop,True,False,True
ff80dfefc41b8863b476c5840f88fec0,confirmed_twins_keep_drop,True,False,True
8596a2f7e68a0e11a5653fb2457db08f,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
94e121bc4a7091b881e8dd9b6c2be6b5,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
9effeea56c413b92340b89d1240769c1,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
6cbc6f7259cb45a4086cd584aec53857,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
b5343f9567df8a68c3276f8d8cdcc6a5,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
68a362123aff27d79dbc5284a948030c,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
63226114e772943ce7f8017d9f5d4b90,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
6303244b26eef8e081298bfeac827403,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
620a6fbf50a7463ed0a8932782d7b969,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
cbaaf646e582b153aa87262de00bd4a0,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
49a2ed9b6af2a48a788b9dd6066bdb0a,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
dc10032bf598b0a3268074de4bb2d7b6,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
df4146c2cb4e97d9c227bdd90d4dc6f8,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
e10ebd20ef424d61222ccc5e97dcc76b,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
c614dc18ffa37f8007c2aead39e65342,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
8b126306391fa2af0f8bea265f2c9666,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
2de0597cbb7af462bfdb7b1c4f935248,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
09a9f7497e6ba14eb0a12388ca17540d,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
e9d628364cf51891028163e0cfca628c,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
eea47f9bc6d774e29cd36167365775bf,confirmed_twins_keep_drop|multi_greedy_drop,True,False,True
644009d197e73a26659353807e116e84,lower_iou_implied_twins,True,False,True
5568eb519a51d50f5b2ac52321a6efdd,lower_iou_implied_twins,True,False,True
65bf2cc6f9ed1eed86b8e7a908efe834,lower_iou_implied_twins|multi_greedy_drop,True,False,True
1d33889037497d32695ac48a786af6d5,lower_iou_implied_twins|multi_greedy_drop,True,False,True
f4fb736869313562fdc74a65b7b9eb2a,multi_greedy_drop,True,False,True
b57e87397f4281b1d3a918c7bd2c9e3a,multi_greedy_drop,True,False,True
8f18d0ffda3fb439d6ad4473d575409d,multi_greedy_drop,True,False,True
f815e7ebafbbfa2578e3abadc8a5d15b,multi_greedy_drop,True,False,True
b2de71e7e1619aa395f55e9859849f2f,multi_greedy_drop,True,False,True
fa741c964934cb194701d6630356adb0,multi_greedy_drop,True,False,True
b1f6f5539ae4fdb9b931788dda704712,multi_greedy_drop,True,False,True
b13961504ea859ff34a150bc19fed335,multi_greedy_drop,True,False,True
aeaa36ea58cad0b8121e59321ef1d41e,multi_greedy_drop,True,False,True
99cc5f5b9f1a86c14dc1970defb07799,multi_greedy_drop,True,False,True
fd34d5fda33d3e8281837a2a4511f7fd,multi_greedy_drop,True,False,True
aa96214fca7ea520191a2263f0ee6ac0,multi_greedy_drop,True,False,True
a5694e9a3cdc76a58c9ad784e909abcf,multi_greedy_drop,True,False,True
a48e97856c956d50cc4f522574cd37fb,multi_greedy_drop,True,False,True
a28b628b33608b2cdadff12fc6aa2537,multi_greedy_drop,True,False,True
a1edceba3500660a6c75be946b20242b,multi_greedy_drop,True,False,True
9098b613c1e7dc1e50790bbdaafd4828,multi_greedy_drop,True,False,True
9e0fa510b3e5a89ab765dfa48957a4cc,multi_greedy_drop,True,False,True
ae7dd6b6b0749f3b9b3001629b9db512,multi_greedy_drop,True,False,True
ae1c6bd846449adbde74b0cba5cb7a19,multi_greedy_drop,True,False,True
e8d79e4c9b85f70b581e3403241672e5,multi_greedy_drop,True,False,True
e956c0c77d87f17644ec64ccd2abd66a,multi_greedy_drop,True,False,True
e830b99a9330e3fa4feee8ac6f219083,multi_greedy_drop,True,False,True
e47409feff05e7815c2908a2af47746b,multi_greedy_drop,True,False,True
e29f49849de6ff182d115fe2aa6cac3a,multi_greedy_drop,True,False,True
eb62229279cd8ab73c9ca81171f14762,multi_greedy_drop,True,False,True
edb53390a53397b29cb85e21501b8efb,multi_greedy_drop,True,False,True
da84230d35b22a900b153d5cb969a7a7,multi_greedy_drop,True,False,True
