drop_id,source,alive,protected
05b09773ad1b34275f0b5adee3c650ab,F_confirmed_twins_gallery,True,False
09a9f7497e6ba14eb0a12388ca17540d,F_confirmed_twins_gallery,True,False
2de0597cbb7af462bfdb7b1c4f935248,F_confirmed_twins_gallery,True,False
30703edaf3bf39b0d04685f0f0a1d43b,F_confirmed_twins_gallery,True,False
3eee912c7daba1d6c5c6968ef71b5570,F_confirmed_twins_gallery,True,False
49a2ed9b6af2a48a788b9dd6066bdb0a,F_confirmed_twins_gallery,True,False
620a6fbf50a7463ed0a8932782d7b969,F_confirmed_twins_gallery,True,False
6303244b26eef8e081298bfeac827403,F_confirmed_twins_gallery,True,False
63226114e772943ce7f8017d9f5d4b90,F_confirmed_twins_gallery,True,False
68a362123aff27d79dbc5284a948030c,F_confirmed_twins_gallery,True,False
6cbc6f7259cb45a4086cd584aec53857,F_confirmed_twins_gallery,True,False
8596a2f7e68a0e11a5653fb2457db08f,F_confirmed_twins_gallery,True,False
8b126306391fa2af0f8bea265f2c9666,F_confirmed_twins_gallery,True,False
94e121bc4a7091b881e8dd9b6c2be6b5,F_confirmed_twins_gallery,True,False
9effeea56c413b92340b89d1240769c1,F_confirmed_twins_gallery,True,False
b5343f9567df8a68c3276f8d8cdcc6a5,F_confirmed_twins_gallery,True,False
c614dc18ffa37f8007c2aead39e65342,F_confirmed_twins_gallery,True,False
cbaaf646e582b153aa87262de00bd4a0,F_confirmed_twins_gallery,True,False
dc10032bf598b0a3268074de4bb2d7b6,F_confirmed_twins_gallery,True,False
df4146c2cb4e97d9c227bdd90d4dc6f8,F_confirmed_twins_gallery,True,False
e10ebd20ef424d61222ccc5e97dcc76b,F_confirmed_twins_gallery,True,False
e9d628364cf51891028163e0cfca628c,F_confirmed_twins_gallery,True,False
eea47f9bc6d774e29cd36167365775bf,F_confirmed_twins_gallery,True,False
ff80dfefc41b8863b476c5840f88fec0,F_confirmed_twins_gallery,True,False
