drop_id,source,alive,protected_not_twin,should_be_gone
00928370e2dfeb8a507667ef1d4efcbb,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
00951a7fad040bf7e90f32e81fc0746f,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
00c15b23b30a5ba061358d9641118904,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
00c46b336b5b06423fcdec1b4d5bee06,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
00ca0c23961b5510be46c917be11c43e,confirmed_twins_keep_drop|lower_iou_implied_twins,False,False,True
01a5e35b1ae21f3cfbe100b4b6aef451,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
01d20d68bce47bec01d816b893630f18,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
0277b937ddc8679ae69b3c54bfd714f1,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
02a7b258e875cf073e2421d67ff824cd,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
02e5b03f8ea7ea2787101b758291d162,confirmed_twins_keep_drop|lower_iou_implied_twins,False,False,True
03426e9293f207de46b5592c001eb45c,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
0373ed8a095e0a283da690de360ccc21,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
03849b0243900d79446bb27849dc0bb2,confirmed_twins_keep_drop|lower_iou_implied_twins,False,False,True
046bac77a58c1be84a6418904e755280,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
04f28a8f394396872b7a9ede5041a80c,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
059ab4f2222a3231845f048a63036083,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
059cbf902c5e42972587c8d17d49efed,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
05b09773ad1b34275f0b5adee3c650ab,confirmed_twins_keep_drop,True,False,True
05cc3233dcb5489d2333ee62339a3226,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
060121a06476ef401d8a21d6567dee6d,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
060f04c4f2dc67635433dc0c5b878265,confirmed_twins_keep_drop|legacy_safe_iou70,False,False,True
